,제목,가격,판매지수,출판년월,연도,월
452,파리 잡기 대회,13500,"판매지수 8,568",2025-12-01,2025,12
453,2026 심우철 이것만은 알고 가자,14400,"판매지수 39,210",2025-12-01,2025,12
454,2026 해커스군무원 신민숙 쉬운국어 빈출 문법 200제 (9·7급 군무원),16200,"판매지수 16,314",2026-01-01,2026,1
455,영어책 한 권 외워봤니?,18000,"판매지수 61,893",2025-11-01,2025,11
456,2026 에듀윌 제과·제빵기능사 필기 한권끝장 기출복원모의고사 25회분,18000,"판매지수 19,155",2025-10-01,2025,10
457,가브리엘의 잉글리시 다이어리,24300,"판매지수 63,726",2025-10-01,2025,10
458,손자병법,11700,"판매지수 142,758",2025-10-01,2025,10
459,시대예보: 경량문명의 탄생(시리즈 30만부 기념 리커버 한정판),19800,"판매지수 133,602",2025-09-01,2025,9
460,정모 박사의 지구 멸망 프로젝트 : 작전01. 남극 빙하를 없애라,14220,"판매지수 3,972",2025-07-01,2025,7
461,먼저 온 미래,18000,"판매지수 85,389",2025-06-01,2025,6
462,현명한 투자자,25200,"판매지수 39,567",2025-06-01,2025,6
463,영어가 바로 터지는 기적의 말하기 영단어 1000,8100,"판매지수 79,854",2025-04-01,2025,4
464,빛과 실,13500,"판매지수 76,689",2025-04-01,2025,4
465,단 한 번의 삶,15120,"판매지수 205,425",2025-04-01,2025,4
466,독학사 한권으로 끝내기 가정관리론 (가정학 2단계),19800,"판매지수 20,394",2025-03-01,2025,3
467,해리 포터와 마법사의 돌 1,11250,"판매지수 38,364",2024-11-01,2024,11
468,내 인생 최악의 일주일 2 화요일,12600,"판매지수 7,026",2024-11-01,2024,11
469,역사의 쓸모,16200,"판매지수 37,356",2024-07-01,2024,7
470,해독 혁명,16650,"판매지수 42,210",2024-06-01,2024,6
471,이렇게 작지만 확실한 행복,14400,"판매지수 17,826",2024-06-01,2024,6
472,행복의 기원,19800,"판매지수 43,686",2024-05-01,2024,5
473,초역 부처의 말,16020,"판매지수 220,452",2024-05-01,2024,5
474,시한부,15120,"판매지수 93,978",2024-01-01,2024,1
475,처음부터 시작하는 주식투자 단타전략,18900,"판매지수 43,995",2023-12-01,2023,12
476,미움받을 용기 (200만 부 기념 스페셜 에디션),14310,"판매지수 62,787",2022-12-01,2022,12
477,초역 니체의 말,14220,"판매지수 31,911",2022-08-01,2022,8
478,부의 추월차선 (10주년 스페셜 에디션),15750,"판매지수 45,762",2022-02-01,2022,2
479,백년허리1 진단편,16650,"판매지수 47,622",2021-04-01,2021,4
480,지적 대화를 위한 넓고 얕은 지식 1,17100,"판매지수 50,301",2020-02-01,2020,2
481,관촌수필,15300,"판매지수 14,964",2018-09-01,2018,9
482,너무 시끄러운 고독,10800,"판매지수 49,938",2016-07-01,2016,7
483,수박 수영장,12600,"판매지수 46,089",2015-07-01,2015,7
484,구르브 연락 없다,9900,"판매지수 24,828",2012-06-01,2012,6
485,참을 수 없는 존재의 가벼움,11700,"판매지수 33,831",2009-12-01,2009,12
486,하나님 나라,17100,"판매지수 1,296",2008-05-01,2008,5
487,어린 임금의 눈물,13500,"판매지수 39,204",2004-02-01,2004,2
488,설국,7200,"판매지수 42,216",2002-01-01,2002,1
489,카난 님은 초보 악마 11,5400,"판매지수 3,000",2026-05-01,2026,5
490,반요 야샤히메 4,5400,"판매지수 2,070",2026-05-01,2026,5
491,던전에서 만남을 추구하면 안 되는 걸까 21,10800,"판매지수 2,580",2026-05-01,2026,5
492,세포를 재생하면 질병은 낫는다,22500,"판매지수 1,950",2026-05-01,2026,5
493,2027 김중규 원픽 선행정학,24300,"판매지수 2,484",2026-05-01,2026,5
494,성령으로 행하는 사람,17100,판매지수 702,2026-05-01,2026,5
495,한눈에 보는 2500년 서양철학사,17010,"판매지수 1,194",2026-05-01,2026,5
496,의식의 탄생,22500,"판매지수 1,851",2026-05-01,2026,5
497,2027 해커스공무원 신민숙 쉬운국어 한 권으로 끝(9급 공무원),19800,"판매지수 5,010",2026-05-01,2026,5
498,2026 해커스 전산세무 2급 한권합격 이론+실무+최신기출 12회분+무료특강,28800,"판매지수 6,546",2026-05-01,2026,5
499,수학 잘하는 아이는 이렇게 공부합니다,17820,"판매지수 8,616",2026-04-01,2026,4
500,꾸준함을 기르는 일,16200,"판매지수 8,967",2026-04-01,2026,4
501,자산 토큰 없는 미래는 없다,26100,"판매지수 28,014",2026-04-01,2026,4
502,2026 조태정 영어 백신 모의고사 Season 3,9900,"판매지수 12,552",2026-04-01,2026,4
503,한 권의 재테크 수업,19800,"판매지수 21,027",2026-04-01,2026,4
504,원펀맨 ONE PUNCH MAN 34,5400,"판매지수 29,904",2026-04-01,2026,4
505,생선 숙성의 기술,27000,"판매지수 8,958",2026-04-01,2026,4
506,단단하고 쉬운 대상관계이론 상담 수업,17100,"판매지수 16,968",2026-05-01,2026,5
507,캐릭터 심리 사전,25200,"판매지수 16,263",2026-04-01,2026,4
508,고깔모자의 아틀리에 초보 마법사 팩,16200,"판매지수 10,167",2026-04-01,2026,4
509,2026 EBS 손평하나 손해평가사 2차 기출문제집,31500,"판매지수 3,168",2026-04-01,2026,4
510,딱 50부터 노후 준비합시다,18900,"판매지수 27,252",2026-04-01,2026,4
511,이상한 나라의 앨리스,10800,"판매지수 16,566",2023-07-01,2023,7
512,수학이 쉬워지는 최소한의 세계사,16200,"판매지수 15,507",2026-04-01,2026,4
513,스스로 공부하는 아이는 이렇게 키웁니다,17010,"판매지수 42,858",2026-03-01,2026,3
514,중3을 위한 고등학교 사용 설명서,18000,"판매지수 18,753",2026-04-01,2026,4
515,우리가 사랑한 도시,15750,"판매지수 20,361",2026-03-01,2026,3
516,한 권으로 끝내는 합격 생기부 탐구력,21600,"판매지수 19,833",2026-03-01,2026,3
517,대한민국 부동산의 역사,19800,"판매지수 13,611",2026-03-01,2026,3
518,다있소 과학 1,13050,"판매지수 35,604",2026-03-01,2026,3
519,에이든 국내여행 가이드북,26460,"판매지수 18,009",2026-04-01,2026,4
520,미라클 모닝 After 50,19800,"판매지수 32,526",2026-03-01,2026,3
521,경제금융용어 800선,8400,"판매지수 6,357",2026-01-01,2026,1
522,인터메초,18900,"판매지수 22,455",2026-02-01,2026,2
523,원피스 ONE PIECE 113,5850,"판매지수 47,910",2026-01-01,2026,1
524,마음을 읽는 감각,17820,"판매지수 47,832",2026-01-01,2026,1
525,쥬디 할머니,16650,"판매지수 33,177",2026-01-01,2026,1
526,2026 권규호 국어 시나리오 공무원 모의고사2,31500,"판매지수 13,650",2026-01-01,2026,1
527,2026 산업안전기사 실기(필답형+작업형)+무료동영상,44100,"판매지수 10,080",2026-01-01,2026,1
528,2026 심우철 실전 동형 모의고사 Season 1,13500,"판매지수 70,740",2025-12-01,2025,12
529,악수도 없이 헤어졌다,13500,"판매지수 22,395",2025-12-01,2025,12
530,"질문하는 방법, 어떻게 가르칠까?",17100,"판매지수 17,040",2025-12-01,2025,12
531,한번 시작하면 잠들 수 없는 세계사,16920,"판매지수 44,844",2025-12-01,2025,12
532,탁! 깨달음의 대화,15300,"판매지수 60,813",2025-11-01,2025,11
533,국보 : 상 · 청춘 편,16200,"판매지수 11,814",2025-11-01,2025,11
534,모든 주식을 소유하라 (리커버판),16200,"판매지수 18,909",2025-09-01,2025,9
535,호의에 대하여,16920,"판매지수 237,960",2025-08-01,2025,8
536,어른의 관계를 가꾸는 100일 필사 노트,18000,"판매지수 82,497",2025-09-01,2025,9
537,속담 관용어 고사성어 천재라면,13950,"판매지수 43,974",2025-09-01,2025,9
538,"필사, 어른이 되는 시간",16650,"판매지수 88,671",2025-07-01,2025,7
539,스티커,14400,"판매지수 40,626",2025-06-01,2025,6
540,한 권으로 끝내는 해커스 토익 900+ (LC+RC+VOCA),15930,"판매지수 50,955",2025-06-01,2025,6
541,"첫 여름, 완주",15300,"판매지수 189,102",2025-05-01,2025,5
542,스파클,13500,"판매지수 54,996",2025-04-01,2025,4
543,해피버쓰데이,15300,"판매지수 23,055",2024-12-01,2024,12
544,해리 포터와 마법사의 돌 2,11250,"판매지수 36,144",2024-11-01,2024,11
545,레인보우 맨션,22500,"판매지수 10,188",2024-07-01,2024,7
546,해커스 일본어 상용한자 2136,21600,"판매지수 40,626",2024-03-01,2024,3
547,생각이 보이는 교실,18000,"판매지수 32,901",2023-05-01,2023,5
548,성경을 여행하다,20700,"판매지수 11,832",2022-10-01,2022,10
549,지구별 인간,13320,"판매지수 12,309",2022-09-01,2022,9
550,미적분의 쓸모,17550,"판매지수 22,128",2022-05-01,2022,5
551,뭐가 다를까? 다른그림찾기 1000,7920,"판매지수 43,575",2022-05-01,2022,5
552,나의 아저씨 세트,49500,"판매지수 7,920",2022-03-01,2022,3
553,내려놓음,13500,"판매지수 8,592",2021-04-01,2021,4
554,클라라와 태양,15300,"판매지수 19,974",2021-03-01,2021,3
555,공정하다는 착각,16200,"판매지수 40,227",2020-12-01,2020,12
556,트럼펫을 부는 백조,13500,"판매지수 1,656",2020-08-01,2020,8
557,소년과 두더지와 여우와 말,19800,"판매지수 84,201",2020-04-01,2020,4
558,시녀 이야기 + 증언들 세트,25200,"판매지수 4,740",2020-01-01,2020,1
559,담을 넘은 아이,12600,"판매지수 44,007",2019-07-01,2019,7
560,해커스 여행일본어 10분의 기적,8820,"판매지수 85,722",2025-06-01,2025,6
561,해커스 아이엘츠 스피킹 베이직 (Hackers IELTS Speaking Basic),20610,"판매지수 25,542",2024-06-01,2024,6
562,해커스 아이엘츠 리스닝 베이직(Hackers IELTS Listening Basic),18810,"판매지수 26,265",2024-06-01,2024,6
563,해커스 아이엘츠 라이팅 베이직 (Hackers IELTS Writing Basic),20610,"판매지수 25,434",2024-02-01,2024,2
564,해커스 아이엘츠 리딩 베이직 (Hackers IELTS Reading Basic),18810,"판매지수 27,237",2024-01-01,2024,1
565,해커스 아이엘츠 라이팅 Hackers IELTS Writing,22410,"판매지수 34,314",2024-08-01,2024,8
566,아홉 살 마음 사전,11700,"판매지수 49,428",2017-03-01,2017,3
567,숨결이 바람 될 때,15120,"판매지수 37,476",2016-08-01,2016,8
568,해커스 보카 Hackers Vocabulary,15210,"판매지수 96,456",2025-04-01,2025,4
569,겁보 만보,11700,"판매지수 16,059",2015-03-01,2015,3
570,투자에 대한 생각,13500,"판매지수 30,816",2012-09-01,2012,9
571,기분을 말해 봐!,11700,"판매지수 24,207",2011-07-01,2011,7
572,눈물을 마시는 새 세트,59400,"판매지수 50,985",2003-02-01,2003,2
573,호밀밭의 파수꾼,10800,"판매지수 43,950",2023-01-01,2023,1
574,무지개 물고기,14400,"판매지수 18,510",1994-04-01,1994,4
575,꽃들에게 희망을,13500,"판매지수 39,135",1999-09-01,1999,9
576,다섯째 아이,11700,"판매지수 12,618",1999-06-01,1999,6
577,AI 버블이 만드는 부채의 종말,19800,"판매지수 9,066",2026-04-01,2026,4
578,연금 부자 되는 에너지 투자,19800,"판매지수 14,019",2026-03-01,2026,3
579,생각의 도약,16200,"판매지수 38,811",2025-01-01,2025,1
580,만복이네 떡집,11700,"판매지수 50,265",2010-05-01,2010,5
581,죽은나무숲의 죽다 만 여우,17550,"판매지수 1,290",2026-05-01,2026,5
582,누나의 친구 3,5400,"판매지수 5,640",2026-05-01,2026,5
583,유럽 어반 스케치 컬러링북,16200,"판매지수 1,440",2026-05-01,2026,5
584,질문의 기술,17100,"판매지수 2,193",2026-05-01,2026,5
585,환상의 섬 피시따시옹,18000,"판매지수 2,193",2026-06-01,2026,6
586,책벌레의 하극상 제5부 - 여신의 화신 10,9000,"판매지수 8,766",2026-04-01,2026,4
587,모든 이야기는 숲에서 시작되었다,19800,"판매지수 1,140",2026-05-01,2026,5
588,블랙 클로버 37,5850,"판매지수 7,191",2026-04-01,2026,4
589,2026 해커스경찰 김민철 경찰학 핵심지문 OX(오엑스),18900,"판매지수 8,328",2026-05-01,2026,5
590,순경씨와 나 1,6300,"판매지수 30,117",2026-04-01,2026,4
591,2027 해커스공무원 이명호 올인원 관세법(관세직 9급·7급),38700,"판매지수 3,486",2026-04-01,2026,4
592,AI 이후의 미래 어떻게 될 것인가,16920,"판매지수 17,598",2026-05-01,2026,5
593,2027 소방직 시험대비 SO NICE 백소나 소방관계법규 1,35100,"판매지수 15,039",2026-04-01,2026,4
594,파이로매니악 3,19800,"판매지수 8,046",2026-04-01,2026,4
595,파이로매니악 1,19800,"판매지수 8,580",2026-04-01,2026,4
596,부당한 아동학대 신고에서 살아남기,18900,"판매지수 1,128",2026-04-01,2026,4
597,물리박사 김상욱의 수상한 연구실 10,15210,"판매지수 35,112",2026-04-01,2026,4
598,네모아저씨의 페이퍼 블레이드 쿼드포스,13500,"판매지수 23,955",2026-04-01,2026,4
599,2027 심우철 영기싹: 영어 기초 싹쓸이,27000,"판매지수 6,426",2026-04-01,2026,4
600,너라는 우주,17820,"판매지수 22,989",2026-04-01,2026,4
601,황천의 츠가이 10 더블특전판,5850,"판매지수 30,093",2026-04-01,2026,4
602,권력중독,17100,"판매지수 9,927",2026-04-01,2026,4
603,2026 개정증보판 시대에듀 SK하이닉스 고졸/전문대졸 온라인 필기시험 통합기본서,22500,"판매지수 4,704",2026-04-01,2026,4
604,정모 박사의 지구 멸망 프로젝트 : 작전03. 이기적 유전자를 키워라,15120,"판매지수 4,071",2026-03-01,2026,3
605,인생의 오후에도 축제는 벌어진다,15300,"판매지수 8,949",2026-04-01,2026,4
606,왕과 사는 남자 각본집,16200,"판매지수 104,853",2026-04-01,2026,4
607,3040 부린이 처음 부동산 투자,21600,"판매지수 20,625",2026-04-01,2026,4
608,2026 헝그리스포츠 스포츠지도사 보디빌딩 실기·구술 (5종 자격증 포함) + 100% 무료강의,26100,"판매지수 14,076",2026-03-01,2026,3
609,용궁장의 고백,15120,"판매지수 2,982",2026-03-01,2026,3
610,초등 과학 진짜 문해력 3-1,12600,"판매지수 15,837",2026-03-01,2026,3
611,초등 사회 진짜 문해력 3-1,12600,"판매지수 14,235",2026-03-01,2026,3
612,양배추를 응원해 주세요,11520,"판매지수 15,330",2026-03-01,2026,3
613,누구나 혼자 서는 순간이 온다,16200,"판매지수 13,497",2026-04-01,2026,4
614,2027 LEET 대비 파이널 실전 모의고사 [언어이해],35100,"판매지수 4,680",2026-03-01,2026,3
615,2026 독학사 한권으로 끝내기 가정학원론 (독학사 가정 2단계),19800,"판매지수 7,584",2025-03-01,2025,3
616,인생 마지막에 쓰는 주식투자 교과서,22500,"판매지수 74,472",2026-03-01,2026,3
617,아이의 친구 관계,18000,"판매지수 35,304",2026-03-01,2026,3
618,2026 이동기 영어 실전동형 모의고사 Vol.1: [16회]: 온라인 동영상 강의 무료 제공,22500,"판매지수 36,246",2026-03-01,2026,3
619,정답은 있다,16200,"판매지수 42,957",2026-02-01,2026,2
620,2027 해커스 사회복지사 1급 한권합격+무료특강 (8영역 이론+최신기출+기출 OX),36000,"판매지수 6,405",2026-02-01,2026,2
621,지금 있는 그대로 충분해,15300,"판매지수 22,767",2026-02-01,2026,2
622,믿는 만큼 할 수 있어요,15300,"판매지수 19,362",2026-02-01,2026,2
623,구원에게,16200,"판매지수 24,585",2026-02-01,2026,2
624,나도 꽃인데 나만 그걸 몰랐네,16200,"판매지수 11,166",2026-02-01,2026,2
625,2026 선재국어 신유형 매일 국어 시즌 4 전 범위 반쪽 모의고사,15300,"판매지수 27,963",2026-01-01,2026,1
626,2026 민준호 행정법 실전동형 모의고사 (최최개사기),19800,"판매지수 24,018",2026-01-01,2026,1
627,친밀한 가해자,12600,"판매지수 18,351",2026-01-01,2026,1
628,리플레이,12150,"판매지수 13,119",2026-01-01,2026,1
629,2026 이기적 AI-POT AI 프롬프트활용능력 1급 기본서,26100,"판매지수 10,089",2026-02-01,2026,2
630,2026 문동균 한국사 문단속 적중 최종병기 FINAL 모의고사,14400,"판매지수 49,302",2026-01-01,2026,1
631,2026 에듀윌 산업안전기사 실기 한권끝장+무료특강 [필답형+작업형],37800,"판매지수 12,207",2026-01-01,2026,1
632,과학 어휘 천재라면,13950,"판매지수 32,499",2026-01-01,2026,1
633,읽으면서 바로 써먹는 어린이 공포의 수학 퍼즐 2,11700,"판매지수 38,382",2025-12-01,2025,12
634,흔한남매 21,15120,"판매지수 138,279",2025-12-01,2025,12
635,2026 해커스 신용분석사 2부 한권합격 이론+적중문제+모의고사,26100,"판매지수 15,474",2026-01-01,2026,1
636,정모 박사의 지구 멸망 프로젝트 : 작전02. 지구 에너지를 없애라,14220,"판매지수 1,788",2025-11-01,2025,11
637,길을 찾는 책 도덕경,16020,"판매지수 22,248",2025-11-01,2025,11
638,내 친구는 왜 그럴까?,15120,"판매지수 46,599",2025-12-01,2025,12
639,"참 잘했다, 그걸로 충분하다",16200,"판매지수 15,423",2025-11-01,2025,11
640,2026 해커스 한국사능력검정시험 심화(1·2·3급) 한능검 시대별 기출문제집,17550,"판매지수 18,225",2026-01-01,2026,1
641,내 인생 최악의 일주일 6 토요일,12600,"판매지수 9,612",2025-11-01,2025,11
642,해커스 Updated 토플 리스닝 (Hackers Updated TOEFL LISTENING),29700,"판매지수 43,758",2025-11-01,2025,11
643,해커스 Updated 토플 리스닝 베이직 (Hackers Updated TOEFL LISTENING BASIC),20700,"판매지수 14,403",2025-11-01,2025,11
644,이병한의 테크노-차이나 탐문,16200,"판매지수 21,162",2025-11-01,2025,11
645,도덕감정론,22500,"판매지수 6,888",2025-11-01,2025,11
646,과학사를 알면 과학이 재밌어! 1 : 과학자의 탄생,15300,"판매지수 6,228",2025-09-01,2025,9
647,나는 메트로폴리탄 미술관의 경비원입니다 (25만 부 기념 전면 개정판),16650,"판매지수 33,303",2025-09-01,2025,9
648,오늘이 내일을 데려올 거야,16200,"판매지수 55,386",2025-09-01,2025,9
649,트렌드 코리아 2026,18000,"판매지수 384,861",2025-09-01,2025,9
650,2026 문동균 한국사 기출은 문동균,27000,"판매지수 73,182",2025-08-01,2025,8
651,2026 이기적 컴퓨터활용능력 2급 필기+실기 올인원,26100,"판매지수 51,039",2025-08-01,2025,8
652,2026 에듀윌 KBS한국어능력시험 한권끝장+무료특강,31500,"판매지수 22,722",2025-07-01,2025,7
653,엄마를 만나러 가는 길 2,16020,"판매지수 31,941",2025-08-01,2025,8
654,청춘의 독서,17010,"판매지수 323,313",2025-04-01,2025,4
655,교사를 지키는 단단한 학급경영,16200,"판매지수 57,480",2025-04-01,2025,4
656,별에게,15120,"판매지수 59,970",2025-03-01,2025,3
657,초판본 오만과 편견,4950,"판매지수 33,132",2025-03-01,2025,3
658,4×4의 세계,12420,"판매지수 22,599",2025-03-01,2025,3
659,독끝 NCS 문제해결능력 자원관리능력 460제,29700,"판매지수 31,512",2025-03-01,2025,3
660,초판본 싯다르타,2690,"판매지수 46,905",2025-02-01,2025,2
661,초판본 변신,2690,"판매지수 39,570",2025-02-01,2025,2
662,황천의 츠가이 7,5850,"판매지수 11,910",2025-01-01,2025,1
663,수학의 언어로 세상을 본다면,16020,"판매지수 4,995",2024-11-01,2024,11
664,불량한 자전거 여행 4,12420,"판매지수 12,690",2024-09-01,2024,9
665,수학이 생명의 언어라면,16200,"판매지수 18,219",2024-09-01,2024,9
666,내 인생 최악의 일주일 1 월요일,12600,"판매지수 7,194",2024-08-01,2024,8
667,비폭력대화,18000,"판매지수 36,429",2024-08-01,2024,8
668,백년목2 치료편,19800,"판매지수 33,900",2024-07-01,2024,7
669,천재 의사 시건방 1,11700,"판매지수 2,616",2024-07-01,2024,7
670,해커스공무원 영문법 합격생 필기노트,10710,"판매지수 13,290",2025-09-01,2025,9
671,백년목1 진단편,19800,"판매지수 22,920",2024-06-01,2024,6
672,착! 붙는 일본어 단어장,13320,"판매지수 22,467",2024-05-01,2024,5
673,빨모쌤의 라이브 영어회화,19800,"판매지수 58,395",2024-04-01,2024,4
674,향기로운 꽃은 늠름하게 핀다 7,5400,"판매지수 22,584",2024-03-01,2024,3
675,감정 호텔,13500,"판매지수 65,493",2024-02-01,2024,2
676,수족관,15930,"판매지수 12,678",2023-12-01,2023,12
677,이반 일리치의 죽음,10800,"판매지수 30,087",2023-12-01,2023,12
678,친구의 전설,15120,"판매지수 33,711",2023-11-01,2023,11
679,강남은 거대한 정신 병동이다,15000,"판매지수 4,080",2023-09-01,2023,9
680,월든에서 보낸 소로의 시간,16020,판매지수 444,2023-08-01,2023,8
681,불량한 자전거 여행 3,10800,"판매지수 12,879",2023-03-01,2023,3
682,세상의 마지막 기차역,15120,"판매지수 60,627",2022-05-01,2022,5
683,잔소리 먹는 전화,10800,판매지수 558,2022-04-01,2022,4
684,삼체 1부,15300,"판매지수 12,264",2022-02-01,2022,2
685,제로 투 원 (10주년 기념판),16200,"판매지수 86,922",2025-04-01,2025,4
686,밝은 밤,15300,"판매지수 35,487",2021-07-01,2021,7
687,일의 격,16200,"판매지수 18,717",2021-07-01,2021,7
688,불편한 편의점,15120,"판매지수 66,024",2021-04-01,2021,4
689,한국의 새,27000,"판매지수 18,291",2020-12-01,2020,12
690,사회통합프로그램(KIIP) 한국사회 이해: 기본(최신정보 반영),10000,"판매지수 8,952",2020-12-01,2020,12
691,풀잎 국수,11700,"판매지수 10,641",2020-08-01,2020,8
692,동아 연세 초등 국어사전,32400,"판매지수 26,469",2020-01-01,2020,1
693,구름빵,11700,"판매지수 24,402",2019-12-01,2019,12
694,보리 국어사전 (2025년 최신판),63000,"판매지수 18,777",2025-03-01,2025,3
695,"달려라, 아비",13500,"판매지수 21,930",2019-09-01,2019,9
696,해커스톡 여행영어 10분의 기적,8820,"판매지수 51,657",2023-03-01,2023,3
697,부자 아빠 가난한 아빠 20주년 특별 기념판,15300,"판매지수 70,626",2018-02-01,2018,2
698,용의자 X의 헌신,16920,"판매지수 45,801",2017-08-01,2017,8
699,해가 지는 곳으로,12600,"판매지수 22,035",2017-06-01,2017,6
700,해커스 아이엘츠 스피킹 Hackers IELTS Speaking,22410,"판매지수 32,664",2024-08-01,2024,8
701,왜 세계의 절반은 굶주리는가?,11520,"판매지수 34,056",2016-03-01,2016,3
702,세계를 바꾼 17가지 방정식,18000,"판매지수 13,929",2016-02-01,2016,2
703,멋진 신세계,12420,"판매지수 47,643",2015-06-01,2015,6
704,완득이,13500,"판매지수 11,829",2008-03-01,2008,3
705,한여름밤의 꿈,7200,"판매지수 7,776",2008-02-01,2008,2
706,변신,9900,"판매지수 20,703",2005-07-01,2005,7
707,코스모스,45000,"판매지수 26,640",2004-12-01,2004,12
708,연금술사,12150,"판매지수 28,149",2001-12-01,2001,12
709,거미 여인의 키스,11700,"판매지수 9,624",2000-06-01,2000,6
710,마담 보바리,10800,"판매지수 4,974",2000-02-01,2000,2
711,희망,17820,"판매지수 31,515",2020-06-01,2020,6
712,넛지 디자인,17820,"판매지수 3,828",2026-05-01,2026,5
713,초코송이 상자가 열리면,13500,"판매지수 11,544",2026-04-01,2026,4
